team_num,reading_type,time_diff,date_time,lat,lon,sea_temp,air_temp
7,ship,A,04/10/2004 A,-7.4,8,27.2,27.5
7,ship,-300,04/10/2004 09:00:00,-7.4,8,27,26.6
7,ship,300,04/10/2004 15:00:00,-7.4,8,27,26.9
7,ship,A,04/11/2004 A,-7.4,8,27,26.7
7,ship,-300,04/11/2004 09:00:00,-8.9,9,27,26.3
7,ship,0,04/11/2004 12:00:00,-9.4,9,26.9,26.2
7,ship,300,04/11/2004 15:00:00,-9.9,9,26.7,26.2
7,ship,A,04/12/2004 A,-11.5,10,25.8,25.4
7,ship,A,05/01/2004 A,-15.1,8,26.2,25.3
7,ship,0,05/01/2004 12:00:00,-13.2,5,26.7,24.6
7,ship,A,05/02/2004 A,-11.2,3,27.2,25
7,ship,A,05/04/2004 A,-20.9,8,NA,25
7,ship,A,05/05/2004 A,-16.6,3,NA,24
7,ship,A,05/06/2004 A,-9.4,10,27.2,26.6
7,ship,-300,05/06/2004 09:00:00,-7.7,10,27.1,26.7
7,ship,0,05/06/2004 12:00:00,-7.2,10,27.2,26.6
7,ship,300,05/06/2004 15:00:00,-6.6,10,27.2,27
7,ship,0,05/27/2004 12:00:00,-16.4,5,NA,23.9
7,ship,A,05/27/2004 A,-15.8,4,NA,26.5
7,ship,A,05/28/2004 A,-11.7,1,NA,25
7,ship,A,06/06/2004 A,-3.8,2,25.2,25
7,ship,0,06/06/2004 12:00:00,-3.2,3,25,25
7,ship,A,06/07/2004 A,-1.9,6,25.4,27
7,ship,0,06/07/2004 12:00:00,-0.8,10,24.7,24.2
7,ship,A,06/29/2004 A,-15.2,10,NA,24
7,ship,A,07/12/2004 A,-25.3,7,NA,22
7,ship,A,07/29/2004 A,-19.5,10,25.4,23.5
7,ship,0,07/29/2004 12:00:00,-17.6,7,24.6,22.1
7,ship,A,07/30/2004 A,-15.6,5,24.5,22.5
7,ship,A,07/31/2004 A,-11.5,2,24.6,22.2
7,ship,A,08/02/2004 A,-17.4,10,NA,24
7,ship,0,08/17/2004 12:00:00,-3.6,2,22.5,21
7,ship,A,08/17/2004 A,-3.1,4,NA,25
7,ship,A,08/18/2004 A,-2.4,6,22.6,26.8
7,ship,0,08/18/2004 12:00:00,-1.1,9,23.2,22.6
7,ship,A,09/10/2004 A,-16.4,5,20,22
7,ship,A,09/25/2004 A,3.2,1,26.3,24.8
7,ship,A,10/07/2004 A,-18.1,1,24,21
7,ship,A,10/12/2004 A,-12.1,7,NA,23
7,ship,A,10/13/2004 A,-9.5,4,NA,24
7,ship,A,10/25/2004 A,-3.7,2,22.7,22.3
7,ship,A,10/26/2004 A,-1.1,10,23.7,24
7,ship,A,11/17/2004 A,-27,10,22,22.5
7,ship,A,11/18/2004 A,-27.1,10,22.4,22
7,ship,-300,11/18/2004 09:00:00,-27.1,10,22.1,22
7,ship,0,11/18/2004 12:00:00,-27.1,10,22.2,19.6
7,ship,300,11/18/2004 15:00:00,-27.1,10,22.1,20.3
7,ship,A,11/19/2004 A,-27.1,10,22.3,20.4
7,ship,-300,11/19/2004 09:00:00,-27.1,10,21.8,19.6
7,ship,0,11/19/2004 12:00:00,-27.1,10,21.6,19.4
7,ship,300,11/19/2004 15:00:00,-27.1,10,21.5,20.1
